c6b325f0813ab81dag01673c,中国文化通史：清前期卷 08,郑师渠 赵云田
b11329b0813ab81cfg014460,中国文化通史：秦汉卷 02,郑师渠 许殿才
7ec32580813ab81cfg015f8c,中国文化通史：明代卷 07,郑师渠 陈梧桐
63332470813ab81cfg017462,中国文化通史：辽西夏金元卷 06,郑师渠 任崇岳
ef132630813ab81dag013180,中国文化通史：先秦卷 01,郑师渠 王冠英
c5b32120813ab81dag014525,中国文化通史：晚清卷 09,郑师渠 史革新
e3d320c0813ab81dag017f13,中国文化通史：民国卷 10,郑师渠 黄兴涛
34832f00813ab81cfg018d01,中国文化通史：两宋卷 05,郑师渠 吴怀祺
86b32230813ab7206g016c23,元明清诗鉴赏辞典（新一版）（套装共2册）,上海辞书出版社文学鉴赏辞典编纂中心
a2332f50715fce6aa23bf0c,柳宗元诗文鉴赏辞典,上海辞书出版社文学鉴赏辞典编纂中心编著
4463226071d512c84462ef3,周邦彦词鉴赏辞典,上海辞书出版社文学鉴赏辞典编纂中心
797326c0813ab938cg013275,姜夔诗词鉴赏辞典(珍藏本),上海辞书出版社文学鉴赏辞典编纂中心
0d332780813ab7761g016341,白居易诗文鉴赏辞典（珍藏本）,上海辞书出版社文学鉴赏辞典编纂中心
aa932ff0813ab938bg0132b6,吴文英词鉴赏辞典(珍藏本),上海辞书出版社文学鉴赏辞典编纂中心
c5d32bf0813ab848ag018b35,宋词（历代名词鉴赏）,上海辞书出版社文学鉴赏辞典编纂中心
fa33221071d01562fa397bc,国学小丛书：曲学通论,吴梅
db3327c07210a0f4db36c49,元白诗笺证稿,陈寅恪
e8732080813ab9e6dg0162cf,中国古代文学的文化传承研究,高升 刘叶青 赵晋
5ea32a3071e750525ea7a85,盛唐气象：漫议唐代文化,李岩
376323b0813ab8748g016cb8,分甘余话,[清]王士祯
af0326c0813ab9558g011c75,数字国学,尹小林 编著
6e2328f0813ab8a6bg011174,江苏历代文化名人传·王世贞,贾飞
df3322d071898a5bdf3d5b2,文廷式诗选注,曾文斌选注
51532330813ab9d2fg0116a5,诗词意趣：课本里的古诗词探究,黄荣华
ecb32040813abbacfg01360b,唐五代入蜀文人与蜀道诗研究,严正道
01d32270813aba7ceg014ef9,诗说家园,赵勤明
67832980729593a867850f7,韦应物：无事风尘独不归,唐婷婷
53232cb0813aba305g01564f,中国文化论衡（总第14期）,张伟
15832670813aba515g018daa,贾岛传,康凯鹏
547323d0813ab91d8g018704,中国传统文化与艺术欣赏,向秀清 黄迎春
ae632a30813abb5c9g0147d8,史诗合一 ： 唐代裴氏诗解读,裴剑文
82432250813ab896cg01129a,唐宋派文学思想研究,刘尊举
a4632820813ab8806g010146,舞雩之境——中国现代艺术形上学思想研究,冯学勤
d6d32910813abbfa6g013f8a,大唐鬼才——李贺传,孟红梅
13d32aa0719076fe13dedd3,唐代文明与新闻传播（修订版）（新闻传播学文库）,李彬
282329f0813aba594g0146da,韦庄文集,韦庄
372327f0718f95e0372157d,你听懂了没有,戴建业
ff0323b0729593a6ff0187d,韦庄：谁谓伤心画不成,唐婷婷
98632bb0813ab6d40g014fa1,陈寅恪新论,《中华文史论丛》编辑部
280320505c1ea42802c14dd,中国诗歌古典名句大全,张志强
be932c805c066cbe9c650b1,筠廊偶笔,宋荦
e9c3204059c797e9c99ad7e,王国维文存,清华大学国学研究院主编 方麟选编
66e325c0726c8ad866ee0d0,唐代教育与文学,郭丽
bc2328e0813ab8f89g012010,声执,陈匪石
31b32ff0813aba476g015970,中国散曲史,卢前
80632920813ab91cdg01692d,国学经典集锦,刘高杰
a3d32e707155b9c5a3dd153,艺术十二讲,白岩松等
a2332000813ab9997g0122b6,墨梅,[美]毕嘉珍
7cb32d6059c7f77cb924dcf,中国美学通史5（宋金元卷）,潘立勇 陆庆祥等
cf632940813aba94cg017c9f,杨万里的诗歌,[加]施吉瑞
5b5326c0813ab9263g013db1,宋代文化市场与文学审美俗趣,尚光一
2eb32d50813abbc04g015b20,诗骚词曲背后的人与情：清华文学课,[清]梁启超 闻一多 郑振铎
